2018-12-22__20:36:09 0.64 68.00 36.00°C note
2018-12-22__20:36:15 0.63 33.00 36.00°C normal
2018-12-22__20:36:20 0.65 20.00 38.00°C normal
2018-12-22__20:36:26 0.66 68.00 38.00°C note
2018-12-22__20:36:32 0.66 6.00 37.00°C normal
2018-12-23__09:24:03 average:0.65 0.73  8.00 22.00°C normal
2018-12-23__09:24:09 average:0.59 0.72  2.00 21.00°C normal
2018-12-23__09:24:14 average:0.55 0.71  3.00 22.00°C normal
2018-12-23__09:24:20 average:0.62 0.72  1.00 22.00°C normal
2018-12-23__09:24:25 average:0.57 0.70  0.00 22.00°C normal
2018-12-23__09:24:31 average:0.61 0.71  4.00 22.00°C normal
2018-12-23__09:24:36 average:0.56 0.70  11.00 22.00°C normal
2018-12-23__09:24:42 average:0.51 0.68  1.00 22.00°C normal
2018-12-23__09:24:48 average:0.47 0.67  17.00 22.00°C normal
2018-12-23__09:24:53 average:0.51 0.68  10.00 22.00°C normal
2018-12-23__10:05:44 1.38 0.88 0.77 98.00 48.00°C warning
2018-12-23__10:05:50 1.91 1.01 0.81 64.00 48.00°C note
2018-12-23__10:05:56 2.00 1.04 0.83 46.00 48.00°C normal
2018-12-23__10:06:02 1.84 1.03 0.82 58.00 48.00°C note
2018-12-23__10:06:07 1.77 1.03 0.82 37.00 48.00°C normal
2018-12-23__10:06:13 1.63 1.01 0.82 17.00 48.00°C normal
2018-12-23__10:06:19 1.50 0.99 0.81 14.00 48.00°C normal
2018-12-23__10:06:24 1.46 0.99 0.81 48.00 48.00°C normal
2018-12-23__10:06:30 1.34 0.98 0.81 45.00 49.00°C normal
2018-12-23__10:06:36 1.52 1.03 0.83 44.00 50.00°C normal
2018-12-23__10:06:41 1.39 1.01 0.82 28.00 49.00°C normal
2018-12-23__10:06:47 1.28 0.99 0.82 44.00 49.00°C normal
2018-12-23__10:06:53 1.18 0.97 0.81 32.00 49.00°C normal
2018-12-23__10:06:58 1.16 0.98 0.81 35.00 49.00°C normal
2018-12-23__10:07:04 1.15 0.98 0.82 33.00 49.00°C normal
2018-12-23__10:07:10 1.38 1.03 0.83 52.00 49.00°C note
2018-12-23__10:07:15 1.43 1.04 0.84 33.00 49.00°C normal
2018-12-23__10:07:21 1.21 1.01 0.83 32.00 49.00°C normal
2018-12-23__10:07:26 1.19 1.01 0.83 67.00 50.00°C note
2018-12-23__10:07:32 1.18 1.01 0.83 23.00 49.00°C normal
2018-12-23__10:07:38 1.08 0.99 0.83 22.00 49.00°C normal
2018-12-23__10:07:43 1.08 0.99 0.83 23.00 49.00°C normal
2018-12-23__10:07:49 1.23 1.02 0.84 28.00 49.00°C normal
2018-12-23__10:07:54 1.21 1.02 0.84 28.00 49.00°C normal
2018-12-23__10:08:00 1.11 1.01 0.84 28.00 49.00°C normal
2018-12-23__10:08:06 1.26 1.04 0.85 49.00 49.00°C normal
2018-12-23__10:08:11 1.16 1.02 0.84 20.00 49.00°C normal
2018-12-23__10:08:17 1.22 1.04 0.85 35.00 49.00°C normal
2018-12-23__10:08:22 1.12 1.02 0.85 29.00 49.00°C normal
2018-12-23__10:08:28 1.03 1.00 0.84 58.00 49.00°C note
