2018-12-22__19:11 0 [yuxiaowe,reboot,] [] [yuxiaowe_:0_tty7]
2018-12-22__19:14 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:15 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:16 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:17 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:18 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:19 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:20 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:21 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:22 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:23 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:24 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:25 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:26 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:27 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:28 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:30 11 [peranda,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
